CENTRO UNIVERSITÁRIO ANTÔNIO EUFRÁSIO DE TOLEDO DE PRESIDENTE PRUDENTE - TOLEDO PRUDENTE (TOLEDO PRUDENTE),TOLEDO PRUDENTE,Praça Raul Furquim - 09 Vila Furquim,Presidente Prudente,SP
CENTRO UNIVERSITÁRIO APARÍCIO CARVALHO,-,Rua das Araras - 241 Eldorado,Porto Velho,RO
CENTRO UNIVERSITÁRIO ARNALDO HORÁCIO FERREIRA,-,Rua Pará - 2.280 Mimoso do Oeste,Luís Eduardo Magalhães,BA
CENTRO UNIVERSITÁRIO ASSIS GURGACZ (FAG),FAG,Avenida das Torres - 500 Loteamento FAG,Cascavel,PR
CENTRO UNIVERSITÁRIO ASSUNÇÃO (UNIFAI),UNIFAI,Rua Afonso Celso - 671/711 Vila Mariana,São Paulo,SP
CENTRO UNIVERSITÁRIO ATENAS (UniAtenas),UniAtenas,Rua Euridamas Avelino de Barros - 60 Lavrado,Paracatu,MG
CENTRO UNIVERSITÁRIO ATENEU,-,Avenida Coletor Antônio Gadelha - 621 Messejana,Fortaleza,CE
CENTRO UNIVERSITÁRIO AUGUSTO MOTTA (UNISUAM),UNISUAM,Avenida Paris - 84 Bonsucesso,Rio de Janeiro,RJ
CENTRO UNIVERSITÁRIO AUTÔNOMO DO BRASIL (UNIBRASIL),UNIBRASIL,Rua Konrad Adenauer - 442 Tarumã,Curitiba,PR
CENTRO UNIVERSITARIO AVANTIS (UNIAVAN),UNIAVAN,Avenida Marginal Leste - 3600 Estados,Balneário Camboriú,SC
CENTRO UNIVERSITÁRIO BARÃO DE MAUÁ (CBM),CBM,Rua Ramos de Azevedo - 423 Jardim Paulista,Ribeirão Preto,SP
CENTRO UNIVERSITÁRIO BARRIGA VERDE (UNIBAVE),UNIBAVE,Rua Pe.João Leonir Dall'Alba - s/n Murialdo,Orleans,SC
CENTRO UNIVERSITÁRIO BARRIGA VERDE / UNIBAVE Cocal do Sul (UNIBAVE),UNIBAVE,Avenida Valdemar Kleinubing - S/N Centro,Cocal do Sul,SC
CENTRO UNIVERSITÁRIO BELAS ARTES DE SÃO PAULO (FEBASP),FEBASP,Rua Dr. Álvaro Alvim - 76/90 Vila Mariana,São Paulo,SP
CENTRO UNIVERSITÁRIO BRASILEIRO (UNIBRA),UNIBRA,Rua Joaquim Felipe - 250 Boa Vista,Recife,PE
CENTRO UNIVERSITÁRIO BRAZ CUBAS,-,Av. Francisco Rodrigues Filho - 1233 Mogilar,Mogi das Cruzes,SP
Centro Universitário Campo Limpo Paulista (UNIFACCAMP),UNIFACCAMP,Rua Guatemala - 167 Jardim América,Campo Limpo Paulista,SP
CENTRO UNIVERSITÁRIO CAMPO REAL,-,Rua Comendador Norberto - 1299 Santa Cruz,Guarapuava,PR
CENTRO UNIVERSITÁRIO CAMPOS DE ANDRADE (UNIANDRADE),UNIANDRADE,Rua Marumby - 283 Campo Comprido,Curitiba,PR
Centro Universitário Carlos Drummond de Andrade (UniDrummond),UniDrummond,Rua Prof. Pedreira de Freitas - 415 Tatuapé,São Paulo,SP
CENTRO UNIVERSITÁRIO CATHEDRAL,-,Avenida Antonio Francisco Cortes - s/n Cidade Universitária,Barra do Garças,MT
CENTRO UNIVERSITÁRIO CATÓLICA DE QUIXADÁ (UNICATÓLICA),UNICATÓLICA,Rua Juvencio Alves de Oliveira - 660 Putiú,Quixadá,CE
Centro Universitário - Católica de Santa Catarina em Jaraguá do Sul (Católica em Jaraguá ),Católica em Jaraguá,Rua dos Imigrantes - 500 Vila Rau,Jaraguá do Sul,SC
Centro Universitário - Católica de Santa Catarina em Joinville (Católica em Joinvile),Católica em Joinvile,Rua Senador Felipe Schmidt - S/N Centro,Joinville,SC
Centro Universitário Católica do Leste de Minas Gerais (UNILESTE),UNILESTE,Avenida Tancredo Neves - 3.500 Universitário,Coronel Fabriciano,MG
CENTRO UNIVERSITÁRIO CATÓLICA DO TOCANTINS (UNICATÓLICA),UNICATÓLICA,Avenida Joaquim Teotônio Segurado - 1402 Sul Plano Diretor Sul,Palmas,TO
CENTRO UNIVERSITÁRIO CATÓLICO DE VITÓRIA,-,Avenida Vitória - 950 Forte São João,Vitória,ES
CENTRO UNIVERSITÁRIO CATÓLICO SALESIANO AUXILIUM (UNISALESIANO),UNISALESIANO,Rua Dom Bosco - 265 Centro,Lins,SP
CENTRO UNIVERSITÁRIO CELSO LISBOA (UCL),UCL,Rua Vinte e Quatro de Maio - 797 Sampaio,Rio de Janeiro,RJ
CENTRO UNIVERSITÁRIO CENECISTA DE OSÓRIO (UNICNEC),UNICNEC,Rua 24 de Maio - 141 Centro,Osório,RS
CENTRO UNIVERSITÁRIO CENTRAL PAULISTA (UNICEP),UNICEP,Rua Miguel Petroni - 5111 Loteamento Habitacional São Carlos 1,São Carlos,SP
CENTRO UNIVERSITÁRIO CESMAC (CESMAC),CESMAC,Rua Cônego Machado - 918 Farol,Maceió,AL
Centro Universitário CEUNI - FAMETRO (FAMETRO),FAMETRO,Avenida Constantino Nery - 3000 Chapada,Manaus,AM
CENTRO UNIVERSITÁRIO CHRISTUS (UNICHRISTUS),UNICHRISTUS,Rua João Adolfo Gurgel - 133 Cocó,Fortaleza,CE
CENTRO UNIVERSITÁRIO CIDADE VERDE (UNIFCV),UNIFCV,Avenida Advogado Horácio Raccanello Filho - 5950 Zona 07,Maringá,PR
CENTRO UNIVERSITÁRIO CLARETIANO (CEUCLAR),CEUCLAR,Rua Dom Bosco - 466 Castelo,Batatais,SP
CENTRO UNIVERSITÁRIO CNEC DE BENTO GONÇALVES,-,Rua Arlindo Franklin Barbosa - 460 São Roque,Bento Gonçalves,RS
CENTRO UNIVERSITÁRIO CURITIBA (UNICURITIBA),UNICURITIBA,Rua Chile - 1678 Rebouças,Curitiba,PR
Centro Universitário da Amazônia (Unama),Unama,Rua Rosa Vermelha - 335 Aeroporto Velho,Santarém,PA
CENTRO UNIVERSITÁRIO DA FUNDAÇÃO EDUCACIONAL DE BARRETOS (UNIFEB),UNIFEB,Avenida Professor Roberto Frade Monte - 389 Aeroporto,Barretos,SP
CENTRO UNIVERSITÁRIO DA FUNDAÇÃO EDUCACIONAL GUAXUPÉ (UNIFEG),UNIFEG,Avenida Dona Floriana - 463 CENTRO,Guaxupé,MG
CENTRO UNIVERSITÁRIO DA FUNDAÇÃO EDUCACIONAL INACIANA PE SABÓIA DE MEDEIROS (FEI),FEI,Avenida Humberto Alencar Castelo Branco - 3972 Assunção,São Bernardo do Campo,SP
CENTRO UNIVERSITÁRIO DA FUNDAÇÃO HERMINIO OMETTO (FHO),FHO,Avenida Doutor Maximiliano Baruto - 500 Jardim Universitário,Araras,SP
CENTRO UNIVERSITÁRIO DA GRANDE DOURADOS (UNIGRAN),UNIGRAN,Rua Balbina de Matos - 2121 Jardim,Dourados,MS
CENTRO UNIVERSITÁRIO DA GRANDE FORTALEZA (UNIGRANDE),UNIGRANDE,Avenida Porto Velho - 401 João XXIII,Fortaleza,CE
CENTRO UNIVERSITÁRIO DANTE,-,Rua Doutor Pedro Zimmermann - 385 Salto do Norte,Blumenau,SC
Centro Universitário da Região da Campanha,-,Avenida Tupy Silveira - 2099 Centro,Bagé,RS
Centro Universitário das Américas (CAM),CAM,Rua Augusta - 1520 Consolação,São Paulo,SP
CENTRO UNIVERSITÁRIO DA SERRA GAÚCHA (FSG),FSG,Rua Marechal Floriano - 889 Pio X,Caxias do Sul,RS
CENTRO UNIVERSITÁRIO DAS FACULDADES ASSOCIADAS DE ENSINO - FAE (UNIFAE),UNIFAE,Largo Engenheiro Paulo de Almeida Sandeville - 15 JARDIM SANTO ANDRÉ,São João da Boa Vista,SP
CENTRO UNIVERSITÁRIO DAS FACULDADES INTEGRADAS DE OURINHOS (Unifio),Unifio,"Rodovia BR-153, Km 399 + 420 m - s/n Água do Cateto",Ourinhos,SP
CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS (FMU),FMU,Avenida Santo Amaro - 1239 Vila Nova Conceição,São Paulo,SP
Centro Universitário de Adamantina (FAI),FAI,Rua Nove de Julho - 730/40 CENTRO,Adamantina,SP
CENTRO UNIVERSITÁRIO DE ANÁPOLIS (UNIEVANGÉLICA),UNIEVANGÉLICA,Avenida Universitária - s/n Cidade Universitária,Anápolis,GO
CENTRO UNIVERSITÁRIO DE ARARAS - (UNAR),UNAR,Avenida Ernani Lacerda de Oliveira - 100 Parque Santa Cândida,Araras,SP
CENTRO UNIVERSITÁRIO DE BARRA MANSA (UBM),UBM,Rua Vereador Pinho de Carvalho - 267 Centro,Barra Mansa,RJ
Centro Universitário de Bauru,-,Praça Nove de Julho - 1-51 Vila Pacífico,Bauru,SP
CENTRO UNIVERSITÁRIO DE BELO HORIZONTE (UNI-BH),UNI-BH,Avenida Prof. Mário Werneck - 1685 Estoril,Belo Horizonte,MG
CENTRO UNIVERSITÁRIO DE BRASÍLIA (UNICEUB),UNICEUB,Eqn 707 907 Conjunto C - S/N Asa Norte,Brasília,DF
CENTRO UNIVERSITÁRIO DE BRUSQUE (UNIFEBE),UNIFEBE,Rua Dorval Luz - 123 Santa Terezinha,Brusque,SC
CENTRO UNIVERSITÁRIO DE CARATINGA (UNEC),UNEC,Av. Moacyr de Mattos - 87 Centro,Caratinga,MG
Centro Universitário de Ciências e Tecnologia do Maranhão (UniFacema),UniFacema,RUA AARÃO REIS - 1000 CENTRO,Caxias,MA
CENTRO UNIVERSITÁRIO DE DESENVOLVIMENTO DO CENTRO OESTE (UNIDESC),UNIDESC,"Rodovia BR-040, KM 16 - s/n Jardim Flamboyant",Luziânia,GO
CENTRO UNIVERSITÁRIO DE ENSINO SUPERIOR DO AMAZONAS (CIESA),CIESA,Rua Pedro Dias Leme - 203 Flores,Manaus,AM
Centro Universitário de Excelência Eniac (ENIAC),ENIAC,Rua Força Pública - 89 Centro,Guarulhos,SP
CENTRO UNIVERSITÁRIO DE FORMIGA (UNIFORMG),UNIFORMG,Avenida Doutor Arnaldo de Senna - 328 Água Vermelha,Formiga,MG
CENTRO UNIVERSITÁRIO DE GOIÁS (UNI-ANHANGÜERA),UNI-ANHANGÜERA,Avenida João Cândido de Oliveira - 115 Cidade Jardim,Goiânia,GO
CENTRO UNIVERSITÁRIO DE GOIATUBA (UNICERRADO),UNICERRADO,Rod Go 320 - s/n Jardim Santa Paula,Goiatuba,GO
CENTRO UNIVERSITÁRIO DE ITAJUBÁ (FEPI),FEPI,Avenida Dr. Antonio Braga Filho - 687 Varginha,Itajubá,MG
Centro Universitário de Itapira Uniesi (UNIESI),UNIESI,"Rodovia SP 147, KM 40,7 - 1381 Bairro dos Prados",Itapira,SP
CENTRO UNIVERSITÁRIO DE JAGUARIÚNA (UniFAJ),UniFAJ,Rua Amazonas - 504 Jardim Dom Bosco,Jaguariúna,SP
CENTRO UNIVERSITÁRIO DE JALES (UNIJALES),UNIJALES,Avenida Francisco Jales - 1851 Loteamento Avenida,Jales,SP
CENTRO UNIVERSITÁRIO DE JOÃO PESSOA (UNIPÊ),UNIPÊ,BR 230 - Km 22 - s/n Água Fria,João Pessoa,PB
CENTRO UNIVERSITÁRIO DE LAVRAS (UNILAVRAS),UNILAVRAS,Rua Padre José Poggel - 506 Centenário,Lavras,MG
CENTRO UNIVERSITÁRIO DE LINS (UNILINS),UNILINS,Avenida Nicolau Zarvos - 1925 Jardim Aeroporto,Lins,SP
CENTRO UNIVERSITÁRIO DE MANDAGUARI - UNIMAN (FAFIMAN),FAFIMAN,Rua: Renê Táccola - 152 CENTRO,Mandaguari,PR
CENTRO UNIVERSITÁRIO DE MARINGÁ - UNICESUMAR (UNICESUMAR),UNICESUMAR,Avenida Guedner - 1610 Jardim Aclimação,Maringá,PR
CENTRO UNIVERSITÁRIO DE MINEIROS (UNIFIMES),UNIFIMES,Rua 22 - S/N Setor Aeroporto,Mineiros,GO
CENTRO UNIVERSITÁRIO DE PATOS (UNIFIP),UNIFIP,Rua Horácio Nóbrega - s/n Belo Horizonte,Patos,PB
CENTRO UNIVERSITÁRIO DE PATOS DE MINAS (UNIPAM),UNIPAM,Rua Major Gote - 808 Caiçaras,Patos de Minas,MG
CENTRO UNIVERSITÁRIO DE PAULÍNIA (UNIFACP),UNIFACP,Rua Nelson Prodócimo - 495 Bela Vista,Paulínia,SP
CENTRO UNIVERSITÁRIO DE RIO PRETO (UNIRP),UNIRP,Rua Yvette Gabriel Atique - 45 Boa Vista,São José do Rio Preto,SP
CENTRO UNIVERSITÁRIO DE SALVADOR (UNICEUSA),UNICEUSA,Avenida Jorge Amado - 780 Boca do Rio,Salvador,BA
CENTRO UNIVERSITÁRIO DE SANTA FÉ DO SUL (UNIFUNEC),UNIFUNEC,Avenida Mangará - 477 JARDIM MANGARÁ,Santa Fé do Sul,SP
CENTRO UNIVERSITÁRIO DE SETE LAGOAS (UNIFEMM),UNIFEMM,Avenida Marechal Castelo Branco - 2.765 Santo Antônio,Sete Lagoas,MG
CENTRO UNIVERSITÁRIO DE UNIÃO DA VITÓRIA (UNIUV),UNIUV,Avenida Bento Munhoz da Rocha Neto - 3.856 São Basílio Magno,União da Vitória,PR
CENTRO UNIVERSITÁRIO DE VALENÇA,-,Rua Sargento Vitor Hugo - 219 Fátima,Valença,RJ
CENTRO UNIVERSITÁRIO DE VÁRZEA GRANDE (UNIVAG),UNIVAG,Avenida Dom Orlando Chaves - 2655 Cristo Rei,Várzea Grande,MT
CENTRO UNIVERSITÁRIO DE VOLTA REDONDA (UNIFOA),UNIFOA,Avenida Paulo Erlei Alves Abrantes - 1325 Três Poços,Volta Redonda,RJ
CENTRO UNIVERSITÁRIO DE VOTUPORANGA (UNIFEV),UNIFEV,Rua Pernambuco - 4196 Patrimônio Novo,Votuporanga,SP
Centro Universitário Dinâmica das Cataratas (UDC),UDC,Avenida Paraná - 5.661 Vila A,Foz do Iguaçu,PR
CENTRO UNIVERSITÁRIO DO CERRADO-PATROCÍNIO (UNICERP),UNICERP,Avenida Líria Terezinha Lassi Capuano - 466 Chácara das Rosas,Patrocínio,MG
Centro Universitário Doctum de Teófilo Otoni (UNIDOCTUM),UNIDOCTUM,Rua Gustavo Leonardo - 1.127 São Jacinto,Teófilo Otoni,MG
CENTRO UNIVERSITÁRIO DO DISTRITO FEDERAL (UDF),UDF,SEP - SUL EQ 704 / 904 Conjunto A - S/N Asa Sul,Brasília,DF
CENTRO UNIVERSITÁRIO DO ESPÍRITO SANTO (UNESC),UNESC,Avenida Fioravante Rossi - 2930 Martinelli,Colatina,ES
CENTRO UNIVERSITÁRIO DO ESTADO DO PARÁ (CESUPA),CESUPA,Avenida Governador José Malcher - 1963 São Brás,Belém,PA
CENTRO UNIVERSITÁRIO DO INSTITUTO DE EDUCAÇÃO SUPERIOR DE BRASÍLIA - IESB (IESB),IESB,Quadra SGAN 609 Módulo D - S/N Asa Norte,Brasília,DF
CENTRO UNIVERSITÁRIO DO INSTITUTO MAUÁ DE TECNOLOGIA (CEUN-IMT),CEUN-IMT,Praça Mauá - 1 Mauá,São Caetano do Sul,SP
CENTRO UNIVERSITÁRIO DOM PEDRO II,-,Avenida Estados Unidos - 18 Comércio,Salvador,BA
CENTRO UNIVERSITÁRIO DON DOMÊNICO (UNIDON),UNIDON,Av. Dr. Arthur Costa Filho - 20 Vila Maia,Guarujá,SP
CENTRO UNIVERSITÁRIO DO NORTE (UNINORTE),UNINORTE,Av. Getúlio Vargas - 604 centro,Manaus,AM
CENTRO UNIVERSITÁRIO DO NORTE PAULISTA (UNORP),UNORP,Rua Ipiranga - 3460 Jardim Alto Rio Preto,São José do Rio Preto,SP
Centro Universitário do Paraná (UniFaesp),UniFaesp,Rua Tenente Tito Teixeira de Castro - 1222 Boqueirão,Curitiba,PR
CENTRO UNIVERSITÁRIO DO PLANALTO CENTRAL APPARECIDO DOS SANTOS (UNICEPLAC),UNICEPLAC,Siga Área Especial No- 02 - s/n Setor Leste Gama,Brasília,DF
CENTRO UNIVERSITÁRIO DO PLANALTO DE ARAXÁ (UNIARAXÁ),UNIARAXÁ,Av. Ministro Olavo Drummond - 5 SÃO GERALDO,Araxá,MG
CENTRO UNIVERSITÁRIO DO RIO DE JANEIRO (UNIRJ),UNIRJ,Rua Engenheiro Trindade - 229 Campo Grande,Rio de Janeiro,RJ
CENTRO UNIVERSITÁRIO DO RIO GRANDE DO NORTE (UNI-RN),UNI-RN,Rua Prefeita Eliane Barros - 2000 Tirol,Natal,RN
CENTRO UNIVERSITÁRIO DOS GUARARAPES (UNIFG),UNIFG,Rua Comendador José Didier - 27 Piedade,Jaboatão dos Guararapes,PE
CENTRO UNIVERSITÁRIO DO SUDESTE MINEIRO,-,Avenida Presidente Itamar Franco - 3180 São Mateus,Juiz de Fora,MG
CENTRO UNIVERSITÁRIO DO SUL DE MINAS (UNIS-MG),UNIS-MG,Avenda Alzira Barra Gazzola - 650 Aeroporto,Varginha,MG
CENTRO UNIVERSITÁRIO DO TRIÂNGULO (UNITRI),UNITRI,Av. Nicomedes Alves dos Santos - 4545 Gávea,Uberlândia,MG
CENTRO UNIVERSITÁRIO DOUTOR LEÃO SAMPAIO (UNILEÃO),UNILEÃO,Avenida Padre Cícero - 2830 Triângulo,Juazeiro do Norte,CE
CENTRO UNIVERSITÁRIO DO VALE DO ARAGUAIA (UNIVAR),UNIVAR,Rua Moreira Cabral - 1000 Setor Mariano,Barra do Garças,MT
CENTRO UNIVERSITÁRIO DO VALE DO IGUAÇU (UNIGUAÇU),UNIGUAÇU,Rua Padre Saporiti - 717 Rio da Areia,União da Vitória,PR
CENTRO UNIVERSITÁRIO DO VALE DO RIBEIRA (UNIVR),UNIVR,Rua Oscar Yoshiaki Magário - 185 Jardim das Palmeiras,Registro,SP
CENTRO UNIVERSITÁRIO ESPÍRITO-SANTENSE/FAESA,-,Rua Anselmo Serrat - 199 Ilha de Monte Belo,Vitória,ES
CENTRO UNIVERSITÁRIO ESTÁCIO DA AMAZÔNIA (ESTÁCIO AMAZÔNIA),ESTÁCIO AMAZÔNIA,Rua Jornalista Humberto Silva - 308 União,Boa Vista,RR
Centro Universitário Estácio de Belo Horizonte - Estácio BH (ESTÁCIO BH),ESTÁCIO BH,Avenida Francisco Sales - 23 Floresta,Belo Horizonte,MG
CENTRO UNIVERSITÁRIO ESTÁCIO DE BRASÍLIA - ESTÁCIO BRASÍLIA (ESTÁCIO BRASÍLIA),ESTÁCIO BRASÍLIA,CSG 09 - Lotes 15/16 Taguatinga,Brasília,DF
CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO (ESTÁCIO RIBEIRÃO PRE),ESTÁCIO RIBEIRÃO PRE,"Rua Abrahão Issa Halack, 980, Ribeirânia. - 980 Ribeirânia",Ribeirão Preto,SP
CENTRO UNIVERSITÁRIO ESTÁCIO DE SANTA CATARINA - ESTÁCIO SANTA CATARINA,-,Avenida Leoberto Leal - 431 Barreiros,São José,SC
